-0.660164   -0.751121
-0.827986   -0.560749
-0.957725   -0.287686
-0.965397    0.260786
-0.870714    0.491789
-0.754701    0.656069
-0.663351    0.748309
-0.533686    0.845682
-0.484213     0.87495
-0.441534    0.897245
-0.257007    0.966409
-0.0564068    0.998408
-0.0457706    0.998952
-0.0417242    0.999129
-0.0135474    0.999908
0.312037     0.95007
0.410058    0.912059
0.459299    0.888282
0.552096    0.833781
0.810967   -0.585091
0.673133   -0.739521
0.512095   -0.858929
0.509307   -0.860585
0.169834   -0.985473
0.166357   -0.986066
0.144877    -0.98945
0.143669   -0.989626
0.0917158   -0.995785
-0.0114806   -0.999934
-0.337669   -0.941265
-0.521464   -0.853273
-0.613414   -0.789761
